County,State Long,Annual Establishments,Annual Average Employment,Total Annual Wages,Annual Average Weekly Wage,Annual Wages per Employee,Annual Average Employment Location Quotient,Total Annual Wages Location Quotient,State
Colonial Heights City, Virginia,743,10727,339171446,608,31619,1,1,VA
Covington City, Virginia,277,3993,213887581,1030,53562,1,1,VA
Danville City, Virginia,1832,26266,981427397,719,37365,1,1,VA
Emporia City, Virginia,271,3435,103690802,581,30187,1,1,VA
Fairfax City, Virginia,1712,19718,1098027616,1071,55688,1,1,VA
Falls Church City, Virginia,1049,12448,869785619,1344,69871,1,1,VA
Franklin City, Virginia,353,4354,132685084,586,30475,1,1,VA
Fredericksburg City, Virginia,1682,25009,1152341762,886,46077,1,1,VA
Galax City, Virginia,417,5860,186215214,611,31777,1,1,VA
Hampton City, Virginia,2861,54208,2548379408,904,47011,1,1,VA
Harrisonburg City, Virginia,1696,31368,1214576165,745,38720,1,1,VA
Hopewell City, Virginia,521,7940,436894338,1058,55026,1,1,VA
Lexington City, Virginia,311,4445,192234271,832,43243,1,1,VA
Lynchburg City, Virginia,2740,52274,2313613985,851,44259,1,1,VA
Manassas City, Virginia,1593,22298,1396620396,1205,62635,1,1,VA
Manassas Park City, Virginia,316,3659,178966723,941,48914,1,1,VA
Martinsville City, Virginia,1076,9246,306996712,638,33202,1,1,VA
Newport News City, Virginia,3925,101888,5409266883,1021,53090,1,1,VA
Norfolk City, Virginia,6076,142708,7931298010,1069,55577,1,1,VA
Norton City, Virginia,245,3424,129013079,725,37677,1,1,VA
Petersburg City, Virginia,950,13208,540952787,788,40955,1,1,VA
Poquoson City, Virginia,235,1852,61862657,642,33406,1,1,VA
Portsmouth City, Virginia,1851,44363,2423146658,1050,54621,1,1,VA
Radford City, Virginia,343,5899,261211152,852,44278,1,1,VA
Richmond City, Virginia,7897,155622,9603717242,1187,61712,1,1,VA
Roanoke City, Virginia,3393,66359,3101748556,899,46742,1,1,VA
Salem City, Virginia,1070,20006,979829715,942,48977,1,1,VA
Staunton City, Virginia,903,11269,424429650,724,37663,1,1,VA
Suffolk City, Virginia,1890,31710,1487044079,902,46895,1,1,VA
Virginia Beach City, Virginia,12328,178137,7623537407,823,42796,1,1,VA
Waynesboro City, Virginia,765,9491,356702668,723,37583,1,1,VA
Williamsburg City, Virginia,535,13007,556899415,823,42817,1,1,VA
Winchester City, Virginia,1514,25618,1229562018,923,47995,1,1,VA
Unknown Or Undefined, Virginia,28312,125016,10662524523,1640,85290,1,1,VA
Adams County, Washington,840,8668,341384285,757,39386,1,1,WA
Asotin County, Washington,636,6407,255909759,768,39940,1,1,WA
Benton County, Washington,5873,89744,4952323290,1061,55183,1,1,WA
Chelan County, Washington,3427,45166,1831095985,780,40542,1,1,WA
Clallam County, Washington,2436,23318,938662419,774,40254,1,1,WA
Clark County, Washington,15089,161181,8598058982,1026,53344,1,1,WA
Columbia County, Washington,234,1310,54566314,801,41662,1,1,WA
Cowlitz County, Washington,3009,38919,1952118132,965,50158,1,1,WA
Douglas County, Washington,1256,12947,480102809,713,37083,1,1,WA
Ferry County, Washington,298,1727,66374362,739,38428,1,1,WA
Franklin County, Washington,2715,34872,1473222569,812,42247,1,1,WA
Garfield County, Washington,89,677,32473657,922,47943,1,1,WA
Grant County, Washington,3255,40412,1703660027,811,42157,1,1,WA
Grays Harbor County, Washington,2381,23199,958502179,795,41316,1,1,WA
Island County, Washington,2058,16671,680766162,785,40835,1,1,WA
Jefferson County, Washington,1132,8872,350695382,760,39528,1,1,WA
King County, Washington,89827,1393990,1.23233E+11,1700,88403,1,1,WA
Kitsap County, Washington,6825,90027,4698867703,1004,52194,1,1,WA
Kittitas County, Washington,1422,15110,641159827,816,42432,1,1,WA
Klickitat County, Washington,791,7463,396159100,1021,53081,1,1,WA
Lewis County, Washington,2441,26380,1139023102,830,43178,1,1,WA
Lincoln County, Washington,498,2867,109631532,735,38239,1,1,WA
Mason County, Washington,1396,14422,608179018,811,42172,1,1,WA
Okanogan County, Washington,1914,17651,598067690,652,33883,1,1,WA
Pacific County, Washington,814,6499,240103003,711,36947,1,1,WA
Pend Oreille County, Washington,402,3179,155452892,940,48904,1,1,WA
Pierce County, Washington,22841,311026,16077734431,994,51693,1,1,WA
San Juan County, Washington,1015,5896,216256524,705,36681,1,1,WA
Skagit County, Washington,4084,52048,2585017121,955,49666,1,1,WA
Skamania County, Washington,273,2106,75811729,692,36007,1,1,WA
Snohomish County, Washington,21653,287527,17680140195,1183,61490,1,1,WA
Spokane County, Washington,16335,223836,10815228341,929,48318,1,1,WA
Stevens County, Washington,1182,10680,420659185,757,39388,1,1,WA
Thurston County, Washington,8482,117017,6071709965,998,51887,1,1,WA
Wahkiakum County, Washington,126,737,27617630,720,37460,1,1,WA
Walla Walla County, Washington,2110,27828,1242056681,858,44633,1,1,WA
Whatcom County, Washington,7367,91398,4364322847,918,47751,1,1,WA
Whitman County, Washington,1259,18895,919564029,936,48668,1,1,WA
Yakima County, Washington,7809,116361,4641597506,767,39890,1,1,WA
Unknown Or Undefined, Washington,3168,17966,1638474490,1754,91201,1,1,WA
Barbour County, West Virginia,289,3441,139665065,780,40584,1,1,WV
Berkeley County, West Virginia,2075,35270,1499664782,818,42519,1,1,WV
Boone County, West Virginia,406,4753,233703313,946,49169,1,1,WV
Braxton County, West Virginia,340,3712,127797840,662,34426,1,1,WV
Brooke County, West Virginia,484,7717,322940811,805,41850,1,1,WV
Cabell County, West Virginia,2791,51783,2233819607,830,43138,1,1,WV
Calhoun County, West Virginia,136,1151,49147790,821,42691,1,1,WV
Clay County, West Virginia,138,1274,38256126,577,30024,1,1,WV
Doddridge County, West Virginia,120,1681,94580427,1082,56264,1,1,WV
Fayette County, West Virginia,979,10391,399340473,739,38431,1,1,WV
Gilmer County, West Virginia,160,1861,72493141,749,38959,1,1,WV
Grant County, West Virginia,304,3304,133236853,775,40326,1,1,WV
Greenbrier County, West Virginia,1151,13116,484941867,711,36974,1,1,WV
Hampshire County, West Virginia,451,3724,121999823,630,32760,1,1,WV
Hancock County, West Virginia,657,9444,394409073,803,41764,1,1,WV
Hardy County, West Virginia,347,5902,201844254,658,34198,1,1,WV
Harrison County, West Virginia,2124,37145,1887622596,977,50818,1,1,WV
Jackson County, West Virginia,630,12028,821947929,1314,68337,1,1,WV
Jefferson County, West Virginia,1157,15509,704992257,874,45456,1,1,WV
Kanawha County, West Virginia,5727,98198,4705569699,922,47919,1,1,WV
Lewis County, West Virginia,470,6235,309955491,956,49710,1,1,WV
Lincoln County, West Virginia,268,2281,78133320,659,34255,1,1,WV
Logan County, West Virginia,857,9773,419408536,825,42915,1,1,WV
McDowell County, West Virginia,372,4281,194454186,874,45423,1,1,WV
Marion County, West Virginia,1357,17696,768321477,835,43418,1,1,WV
Marshall County, West Virginia,576,13200,976687597,1423,73990,1,1,WV
Mason County, West Virginia,412,5365,239692904,859,44681,1,1,WV
Mercer County, West Virginia,1380,18955,707637907,718,37334,1,1,WV
Mineral County, West Virginia,540,7829,330603998,812,42230,1,1,WV
Mingo County, West Virginia,541,5328,245667849,887,46105,1,1,WV
Monongalia County, West Virginia,2750,56749,2933538052,994,51693,1,1,WV
Monroe County, West Virginia,236,1886,75398772,769,39978,1,1,WV
Morgan County, West Virginia,267,2787,94810421,654,34025,1,1,WV
Nicholas County, West Virginia,718,7283,268293457,708,36837,1,1,WV
Ohio County, West Virginia,1551,28615,1233566997,829,43109,1,1,WV
Pendleton County, West Virginia,192,1463,45495870,598,31099,1,1,WV
Pleasants County, West Virginia,167,2693,136739003,977,50782,1,1,WV
Pocahontas County, West Virginia,273,3154,99389719,606,31511,1,1,WV
Preston County, West Virginia,680,7253,288747491,766,39813,1,1,WV
Putnam County, West Virginia,1487,20570,1101335357,1030,53542,1,1,WV
Raleigh County, West Virginia,2212,31448,1298698732,794,41297,1,1,WV
Randolph County, West Virginia,865,11208,400127668,687,35701,1,1,WV
Ritchie County, West Virginia,254,3190,134810813,813,42260,1,1,WV
Roane County, West Virginia,296,2881,108664408,725,37713,1,1,WV
Summers County, West Virginia,205,2070,67116966,623,32418,1,1,WV
Taylor County, West Virginia,279,3158,138791306,845,43944,1,1,WV
Tucker County, West Virginia,216,2583,90833625,676,35173,1,1,WV
Tyler County, West Virginia,149,2136,98391310,886,46074,1,1,WV
Upshur County, West Virginia,685,7336,287225981,753,39152,1,1,WV
Wayne County, West Virginia,584,8153,358735018,846,44000,1,1,WV
Webster County, West Virginia,211,1644,58241862,681,35431,1,1,WV
Wetzel County, West Virginia,419,4456,154014702,665,34564,1,1,WV
Wirt County, West Virginia,87,553,17582332,611,31794,1,1,WV
Wood County, West Virginia,2292,35215,1472592195,804,41817,1,1,WV
Wyoming County, West Virginia,390,4261,190685796,861,44754,1,1,WV
Unknown Or Undefined, West Virginia,6415,28284,1885894305,1282,66678,1,1,WV
Adams County, Wisconsin,340,4417,164296865,715,37194,1,1,WI
Ashland County, Wisconsin,604,8074,311601888,742,38593,1,1,WI
Barron County, Wisconsin,1499,22414,863944300,741,38545,1,1,WI
Bayfield County, Wisconsin,519,4193,140965356,647,33621,1,1,WI
Brown County, Wisconsin,7128,159066,7946021519,961,49954,1,1,WI
Buffalo County, Wisconsin,380,3814,140806397,710,36914,1,1,WI
Burnett County, Wisconsin,424,4746,158560112,642,33410,1,1,WI
Calumet County, Wisconsin,810,13969,548337340,755,39255,1,1,WI
Chippewa County, Wisconsin,1647,24393,991891468,782,40663,1,1,WI
Clark County, Wisconsin,888,11142,437778027,756,39293,1,1,WI
Columbia County, Wisconsin,1674,22745,927377713,784,40772,1,1,WI
Crawford County, Wisconsin,463,7403,262055649,681,35399,1,1,WI
Dane County, Wisconsin,16032,336366,18966301185,1084,56386,1,1,WI
Dodge County, Wisconsin,1877,35639,1594078618,860,44728,1,1,WI
Door County, Wisconsin,1290,13731,479149060,671,34894,1,1,WI
Douglas County, Wisconsin,1145,15812,647571858,788,40955,1,1,WI
Dunn County, Wisconsin,1018,17634,730616383,797,41433,1,1,WI
Eau Claire County, Wisconsin,2865,58516,2675193844,879,45717,1,1,WI
Florence County, Wisconsin,141,1056,29588970,539,28026,1,1,WI
Fond Du Lac County, Wisconsin,2391,47217,2163818207,881,45827,1,1,WI
Forest County, Wisconsin,292,3137,115615749,709,36856,1,1,WI
Grant County, Wisconsin,1396,17881,668722776,719,37399,1,1,WI
Green County, Wisconsin,1041,15915,643452456,778,40431,1,1,WI
Green Lake County, Wisconsin,510,6084,232277214,734,38177,1,1,WI
Iowa County, Wisconsin,672,10260,441433031,827,43027,1,1,WI
Iron County, Wisconsin,222,1625,51720338,612,31820,1,1,WI
Jackson County, Wisconsin,490,8934,382624339,824,42826,1,1,WI
Jefferson County, Wisconsin,2108,33201,1350222804,782,40668,1,1,WI
Juneau County, Wisconsin,665,9361,376446998,773,40216,1,1,WI
Kenosha County, Wisconsin,3520,66522,2939301273,850,44185,1,1,WI
Kewaunee County, Wisconsin,552,6967,271240492,749,38934,1,1,WI
La Crosse County, Wisconsin,3156,69876,3098702240,853,44345,1,1,WI
Lafayette County, Wisconsin,463,4300,155088923,694,36069,1,1,WI
Langlade County, Wisconsin,628,7405,261433434,679,35307,1,1,WI
Lincoln County, Wisconsin,770,11085,457284463,793,41254,1,1,WI
Manitowoc County, Wisconsin,1896,33469,1457555270,837,43550,1,1,WI
Marathon County, Wisconsin,3542,71319,3303153644,891,46315,1,1,WI
Marinette County, Wisconsin,1197,18343,776558074,814,42335,1,1,WI
Marquette County, Wisconsin,357,3928,139253699,682,35449,1,1,WI
Menominee County, Wisconsin,104,2082,70336166,650,33790,1,1,WI
Milwaukee County, Wisconsin,27078,489007,26326617051,1035,53837,1,1,WI
Monroe County, Wisconsin,1136,20968,886459201,813,42276,1,1,WI
Oconto County, Wisconsin,793,9024,313606321,668,34753,1,1,WI
Oneida County, Wisconsin,1459,16443,668621140,782,40664,1,1,WI
Outagamie County, Wisconsin,5431,108151,5220319154,928,48269,1,1,WI
Ozaukee County, Wisconsin,2962,42834,2032989081,913,47462,1,1,WI
Pepin County, Wisconsin,280,2271,85010246,720,37426,1,1,WI
Pierce County, Wisconsin,943,10416,389284786,719,37374,1,1,WI
Polk County, Wisconsin,1188,15807,585681808,713,37051,1,1,WI
Portage County, Wisconsin,1770,33817,1489221470,847,44037,1,1,WI
Price County, Wisconsin,475,5411,205058820,729,37896,1,1,WI
Racine County, Wisconsin,4534,75750,3656894509,928,48276,1,1,WI
Richland County, Wisconsin,461,5847,213802446,703,36567,1,1,WI
Rock County, Wisconsin,3519,67016,3090692777,887,46119,1,1,WI
Rusk County, Wisconsin,369,5153,185620105,693,36021,1,1,WI
St. Croix County, Wisconsin,2428,34180,1434375939,807,41965,1,1,WI
Sauk County, Wisconsin,2027,36785,1438004099,752,39092,1,1,WI
Sawyer County, Wisconsin,691,6909,243174677,677,35196,1,1,WI
Shawano County, Wisconsin,1041,12729,433401088,655,34048,1,1,WI
Sheboygan County, Wisconsin,2879,61516,3004216328,939,48836,1,1,WI
Taylor County, Wisconsin,512,8106,313062747,743,38621,1,1,WI
Trempealeau County, Wisconsin,794,14026,579169061,794,41293,1,1,WI
Vernon County, Wisconsin,722,8770,312927955,686,35681,1,1,WI
Vilas County, Wisconsin,979,7989,264656799,637,33126,1,1,WI
Walworth County, Wisconsin,2952,42186,1655621904,755,39245,1,1,WI
Washburn County, Wisconsin,605,5753,198831729,665,34559,1,1,WI
Washington County, Wisconsin,3523,56707,2587744456,878,45633,1,1,WI
Waukesha County, Wisconsin,13389,244063,13728581336,1082,56250,1,1,WI
Waupaca County, Wisconsin,1342,19575,756233619,743,38633,1,1,WI
Waushara County, Wisconsin,532,6254,214878099,661,34359,1,1,WI
Winnebago County, Wisconsin,3865,93939,4865310753,996,51792,1,1,WI
Wood County, Wisconsin,2022,38613,1720192117,857,44550,1,1,WI
Unknown Or Undefined, Wisconsin,15862,56241,4092822284,1399,72773,1,1,WI
Albany County, Wyoming,1305,15529,633801945,785,40813,1,1,WY
Big Horn County, Wyoming,457,4016,163854403,785,40805,1,1,WY
Campbell County, Wyoming,1819,24779,1430856702,1110,57746,1,1,WY
Carbon County, Wyoming,656,6857,335764762,942,48964,1,1,WY
Converse County, Wyoming,567,5944,318858341,1032,53640,1,1,WY
Crook County, Wyoming,309,2429,107118509,848,44095,1,1,WY
Fremont County, Wyoming,1728,15150,625193116,794,41266,1,1,WY
Goshen County, Wyoming,439,4305,161418216,721,37492,1,1,WY
Hot Springs County, Wyoming,250,1884,70659688,721,37510,1,1,WY
Johnson County, Wyoming,487,3240,127429851,756,39336,1,1,WY
Laramie County, Wyoming,3652,45996,2168713880,907,47150,1,1,WY
Lincoln County, Wyoming,890,6322,296637659,902,46919,1,1,WY
Natrona County, Wyoming,3555,38605,1941129280,967,50282,1,1,WY
Niobrara County, Wyoming,133,887,31881146,691,35939,1,1,WY
Park County, Wyoming,1550,13745,557324751,780,40547,1,1,WY
Platte County, Wyoming,404,3513,160527501,879,45692,1,1,WY
Sheridan County, Wyoming,1425,13313,559100838,808,41996,1,1,WY
Sublette County, Wyoming,530,4114,233782840,1093,56827,1,1,WY
Sweetwater County, Wyoming,1614,22263,1310043895,1132,58845,1,1,WY
Teton County, Wyoming,2394,20954,1009247145,926,48166,1,1,WY
Uinta County, Wyoming,771,8214,333921190,782,40652,1,1,WY
Washakie County, Wyoming,452,3615,147656317,786,40847,1,1,WY
Weston County, Wyoming,276,2269,92902487,787,40943,1,1,WY
Unknown Or Undefined, Wyoming,653,4174,260795218,1202,62478,1,1,WY
Adjuntas Municipio, Puerto Rico,214,1596,28204660,340,17669,1,1,#N/A
Aguada Municipio, Puerto Rico,474,4203,80678575,369,19197,1,1,#N/A
Aguadilla Municipio, Puerto Rico,833,17320,522812080,580,30185,1,1,#N/A
Aguas Buenas Municipio, Puerto Rico,137,1654,32807493,381,19832,1,1,#N/A
Aibonito Municipio, Puerto Rico,306,5466,139075232,489,25442,1,1,#N/A
Anasco Municipio, Puerto Rico,256,4920,138090415,540,28068,1,1,#N/A
Arecibo Municipio, Puerto Rico,1026,19885,518947555,502,26098,1,1,#N/A
Arroyo Municipio, Puerto Rico,82,2162,67191051,598,31079,1,1,#N/A
Barceloneta Municipio, Puerto Rico,261,10266,314262212,589,30613,1,1,#N/A
Barranquitas Municipio, Puerto Rico,305,2976,63999143,414,21505,1,1,#N/A
Bayamon Municipio, Puerto Rico,2829,52374,1333507022,490,25461,1,1,#N/A
Cabo Rojo Municipio, Puerto Rico,521,5326,92180682,333,17309,1,1,#N/A
Caguas Municipio, Puerto Rico,2163,44240,1183106744,514,26743,1,1,#N/A
Camuy Municipio, Puerto Rico,322,3572,69326172,373,19408,1,1,#N/A
Canovanas Municipio, Puerto Rico,314,4755,120273084,486,25296,1,1,#N/A
Carolina Municipio, Puerto Rico,1885,43856,1164256836,511,26547,1,1,#N/A
Catano Municipio, Puerto Rico,307,10390,329956979,611,31757,1,1,#N/A
Cayey Municipio, Puerto Rico,459,9333,254803584,525,27301,1,1,#N/A
Ceiba Municipio, Puerto Rico,92,1144,25122491,422,21962,1,1,#N/A
Ciales Municipio, Puerto Rico,133,1506,29753274,380,19759,1,1,#N/A
Cidra Municipio, Puerto Rico,350,5753,164098753,549,28525,1,1,#N/A
Coamo Municipio, Puerto Rico,283,3222,66651362,398,20688,1,1,#N/A
Comerio Municipio, Puerto Rico,128,1612,33240068,397,20624,1,1,#N/A
Corozal Municipio, Puerto Rico,310,3771,75232717,384,19951,1,1,#N/A
Culebra Municipio, Puerto Rico,51,430,8331055,373,19386,1,1,#N/A
Dorado Municipio, Puerto Rico,527,8087,236003090,561,29184,1,1,#N/A
Fajardo Municipio, Puerto Rico,486,9503,238831735,483,25131,1,1,#N/A
Florida Municipio, Puerto Rico,64,1000,20539255,395,20536,1,1,#N/A
Guanica Municipio, Puerto Rico,117,2347,42199623,346,17983,1,1,#N/A
Guayama Municipio, Puerto Rico,425,9915,261352325,507,26358,1,1,#N/A
Guayanilla Municipio, Puerto Rico,121,2309,51478465,429,22294,1,1,#N/A
Guaynabo Municipio, Puerto Rico,2409,48900,1734528497,682,35471,1,1,#N/A
Gurabo Municipio, Puerto Rico,323,6385,197582130,595,30944,1,1,#N/A
Hatillo Municipio, Puerto Rico,529,8327,163674654,378,19655,1,1,#N/A
Hormigueros Municipio, Puerto Rico,168,2389,45342509,365,18983,1,1,#N/A
Humacao Municipio, Puerto Rico,735,14812,459489587,597,31021,1,1,#N/A
Isabela Municipio, Puerto Rico,426,6983,176556845,486,25283,1,1,#N/A
Jayuya Municipio, Puerto Rico,155,2710,75201515,534,27749,1,1,#N/A
Juana Diaz Municipio, Puerto Rico,300,6047,156613601,498,25900,1,1,#N/A
Juncos Municipio, Puerto Rico,241,6743,332144098,947,49260,1,1,#N/A
Lajas Municipio, Puerto Rico,223,3058,53743157,338,17572,1,1,#N/A
Lares Municipio, Puerto Rico,281,3909,69532501,342,17787,1,1,#N/A
Las Marias Municipio, Puerto Rico,89,1076,17728869,317,16480,1,1,#N/A
Las Piedras Municipio, Puerto Rico,264,7136,208885443,563,29273,1,1,#N/A
Loiza Municipio, Puerto Rico,98,1689,40977520,467,24260,1,1,#N/A
Luquillo Municipio, Puerto Rico,134,1831,41092538,432,22445,1,1,#N/A
Manati Municipio, Puerto Rico,591,13574,407636462,578,30031,1,1,#N/A
Maricao Municipio, Puerto Rico,70,1203,26574899,425,22083,1,1,#N/A
Maunabo Municipio, Puerto Rico,66,1254,37377376,573,29803,1,1,#N/A
Mayaguez Municipio, Puerto Rico,1479,28755,705431814,472,24532,1,1,#N/A
Moca Municipio, Puerto Rico,372,4187,73366445,337,17521,1,1,#N/A
Morovis Municipio, Puerto Rico,170,2154,43249461,386,20075,1,1,#N/A
Naguabo Municipio, Puerto Rico,146,2015,42656953,407,21170,1,1,#N/A
Naranjito Municipio, Puerto Rico,302,2987,64353874,414,21543,1,1,#N/A
Orocovis Municipio, Puerto Rico,208,2452,46831608,367,19100,1,1,#N/A
Patillas Municipio, Puerto Rico,113,1447,32895598,437,22728,1,1,#N/A
Penuelas Municipio, Puerto Rico,166,2477,55032840,427,22218,1,1,#N/A
Ponce Municipio, Puerto Rico,2167,44857,1102918074,473,24587,1,1,#N/A
Quebradillas Municipio, Puerto Rico,216,1980,39758274,386,20077,1,1,#N/A
Rincon Municipio, Puerto Rico,168,1756,33564802,368,19113,1,1,#N/A
Rio Grande Municipio, Puerto Rico,311,4813,109231661,436,22697,1,1,#N/A
Sabana Grande Municipio, Puerto Rico,191,3078,59266650,370,19258,1,1,#N/A
Salinas Municipio, Puerto Rico,192,3397,86420231,489,25440,1,1,#N/A
San German Municipio, Puerto Rico,370,8087,178170510,424,22032,1,1,#N/A
San Juan Municipio, Puerto Rico,10583,242552,8517243415,675,35115,1,1,#N/A
